experiment,model,lr,batch_size,image_size,epochs,weighted_loss,pretrained_backbone,features,best_val_miou,best_val_pixel_accuracy,checkpoint,best_val_iou_class_0,best_val_iou_class_1,best_val_iou_class_2,best_val_iou_class_3,best_val_iou_class_4,best_val_iou_class_5,best_val_iou_class_6,best_val_iou_class_7
unet_kaggle_baseline,unet,0.0001,8,256,1,False,False,32,0.166624,0.576866,/kaggle/working/checkpoints/unet/best.pth,0.572956,0.008755,0.019001,0.030841,0.008628,0.519855,0.001406,0.171547
deeplabv3_resnet50_kaggle_baseline,deeplabv3_resnet50,0.0001,8,256,1,False,False,32,0.168937,0.606147,/kaggle/working/checkpoints/deeplabv3_resnet50...,0.601306,0.000000,0.000000,0.049991,0.000000,0.535940,0.023274,0.140989
unet_kaggle_baseline,unet,0.0001,8,256,1,False,False,32,0.171152,0.586369,/kaggle/working/checkpoints/unet/best.pth,0.567028,0.001040,0.000037,0.056966,0.000995,0.529923,0.003972,0.209254
unet_kaggle_baseline,unet,0.0001,8,256,1,False,False,32,0.174545,0.566806,/kaggle/working/checkpoints/unet/best.pth,0.587063,0.000880,0.004892,0.100236,0.000447,0.522991,0.000066,0.179782
deeplabv3_resnet50_kaggle_baseline,deeplabv3_resnet50,0.0001,8,256,1,False,False,32,0.202602,0.629103,/kaggle/working/checkpoints/deeplabv3_resnet50...,0.626734,0.001581,0.000000,0.122956,0.000000,0.550730,0.040748,0.278072
unet_size128_main,unet,0.0001,16,128,20,False,False,32,0.297318,0.698849,/kaggle/working/checkpoints/unet_size128_main/...,0.771610,0.177952,0.000000,0.239843,0.000000,0.607017,0.198496,0.383622
unet_size256_main,unet,0.0001,16,256,20,False,False,32,0.252723,0.678170,/kaggle/working/checkpoints/unet_size256_main/...,0.723594,0.000000,0.000000,0.142274,0.000000,0.591369,0.225134,0.339409
unet_weighted_ce_size256_main,unet,0.0001,16,256,20,True,False,32,0.276628,0.553481,/kaggle/working/checkpoints/unet_weighted_ce_s...,0.702942,0.184823,0.077282,0.185869,0.115001,0.403196,0.228871,0.315044
deeplabv3_resnet50_size256_main,deeplabv3_resnet50,0.0001,16,256,20,False,False,32,0.389566,0.725624,/kaggle/working/checkpoints/deeplabv3_resnet50...,0.760284,0.387789,0.091826,0.437507,0.136370,0.619201,0.275594,0.407955
deeplabv3_resnet50_pretrained_size256_main,deeplabv3_resnet50,0.0001,16,256,20,False,True,32,0.634414,0.822570,/kaggle/working/checkpoints/deeplabv3_resnet50...,0.846060,0.741310,0.202565,0.706464,0.724594,0.715305,0.634939,0.504080
